"日期","收盘","开盘","高","低","涨跌幅"
"2020年10月4日","15.7689","15.5055","15.8125","15.5041","1.71%"
"2020年9月27日","15.5040","15.4628","15.5733","15.4167","0.21%"
"2020年9月20日","15.4712","15.4292","15.5172","15.3089","0.20%"
"2020年9月13日","15.4406","15.5339","15.6235","15.3939","-0.58%"
"2020年9月6日","15.5300","15.5316","15.5719","15.4381","0.06%"
"2020年8月30日","15.5214","15.3457","15.5798","15.3371","1.17%"
"2020年8月23日","15.3420","15.2996","15.5499","15.2744","0.38%"
"2020年8月16日","15.2839","15.3410","15.3679","15.1839","-0.34%"
"2020年8月9日","15.3354","15.2059","15.4269","15.1695","0.91%"
"2020年8月2日","15.1973","15.1803","15.2599","15.1256","0.16%"
"2020年7月26日","15.1737","15.1027","15.2061","14.8927","0.32%"
"2020年7月19日","15.1255","15.3174","15.3783","15.0599","-1.16%"
"2020年7月12日","15.3032","15.2682","15.3678","15.2460","0.23%"
"2020年7月5日","15.2682","15.2136","15.3804","15.2094","0.35%"
"2020年6月28日","15.2143","15.1444","15.3096","15.1177","0.43%"
"2020年6月21日","15.1486","15.1160","15.1825","15.0255","0.23%"
"2020年6月14日","15.1131","15.1531","15.2199","15.0411","-0.28%"
"2020年6月7日","15.1559","15.4879","15.4984","15.0601","-2.06%"
"2020年5月31日","15.4745","15.0948","15.5020","15.0449","2.44%"
"2020年5月24日","15.1060","15.0881","15.1378","14.9759","0.08%"
"2020年5月17日","15.0944","15.0778","15.2165","15.0415","0.16%"
"2020年5月10日","15.0708","15.0737","15.1820","15.0378","-0.05%"
"2020年5月3日","15.0780","15.1263","15.1624","14.9171","-0.40%"
"2020年4月26日","15.1390","15.1774","15.2233","15.0301","-0.28%"
"2020年4月19日","15.1817","15.2191","15.2727","15.1321","-0.13%"
"2020年4月12日","15.2021","15.4257","15.4257","15.1485","-1.37%"
"2020年4月5日","15.4129","15.2881","15.4789","15.2754","0.79%"
"2020年3月29日","15.2924","15.2045","15.3288","15.0576","0.57%"
"2020年3月22日","15.2059","15.6475","15.8182","15.1848","-2.63%"
"2020年3月15日","15.6165","15.4003","15.7157","14.9833","1.41%"
"2020年3月8日","15.3989","15.1392","15.4817","14.5695","1.36%"
"2020年3月1日","15.1924","15.3619","15.6037","15.1415","-1.72%"
"2020年2月23日","15.4585","15.8817","15.9058","15.3755","-2.65%"
"2020年2月16日","15.8794","15.7142","15.9779","15.6546","1.09%"
"2020年2月9日","15.7087","15.6898","15.8038","15.6484","0.23%"
"2020年2月2日","15.6730","15.6314","15.8033","15.4331","0.30%"
"2020年1月26日","15.6264","15.7215","15.7533","15.6149","-0.81%"
"2020年1月19日","15.7533","16.0553","16.1078","15.7374","-1.90%"
"2020年1月12日","16.0582","15.8233","16.0824","15.8176","1.49%"
"2020年1月5日","15.8218","15.5077","15.8512","15.4685","1.95%"
"2019年12月29日","15.5186","15.6494","15.6551","15.4698","-0.79%"
"2019年12月22日","15.6417","15.6154","15.7091","15.5852","0.14%"
"2019年12月15日","15.6199","15.6389","15.6800","15.5708","-0.18%"
"2019年12月8日","15.6485","15.4595","15.7427","15.4030","1.36%"
"2019年12月1日","15.4380","15.5724","15.6136","15.3285","-0.87%"
"2019年11月24日","15.5728","15.4423","15.6132","15.4310","0.90%"
"2019年11月17日","15.4339","15.5289","15.5526","15.3721","-0.54%"
"2019年11月10日","15.5181","15.6097","15.6224","15.4166","-0.65%"
"2019年11月3日","15.6195","15.3726","15.6880","15.3712","1.61%"
"2019年10月27日","15.3727","15.3816","15.4901","15.3127","-0.04%"
"2019年10月20日","15.3793","15.3171","15.3977","15.2835","0.44%"
"2019年10月13日","15.3113","15.2864","15.4095","15.2631","0.10%"
"2019年10月6日","15.2956","14.9648","15.3238","14.9089","2.24%"
"2019年9月29日","14.9608","15.1501","15.1749","14.8965","-1.27%"
"2019年9月22日","15.1535","15.1642","15.1981","15.0274","-0.09%"
"2019年9月15日","15.1679","15.2012","15.3207","15.1623","-0.65%"
"2019年9月8日","15.2675","15.0158","15.3018","14.9892","1.61%"
"2019年9月1日","15.0252","14.8470","15.0585","14.7265","1.15%"
"2019年8月25日","14.8537","14.8144","14.9354","14.7130","-0.00%"
"2019年8月18日","14.8541","15.1035","15.1479","14.8344","-1.66%"
"2019年8月11日","15.1041","14.9512","15.1985","14.8677","0.94%"
"2019年8月4日","14.9631","15.3567","15.3697","14.9049","-2.57%"
"2019年7月28日","15.3584","15.8031","15.8826","15.3454","-2.78%"
"2019年7月21日","15.7978","15.6623","15.8248","15.6493","0.94%"
"2019年7月14日","15.6514","15.6771","15.7622","15.5829","-0.20%"
"2019年7月7日","15.6821","15.7316","15.8392","15.6661","-0.33%"
"2019年6月30日","15.7341","15.7415","15.8564","15.6066","0.14%"
"2019年6月23日","15.7126","15.6348","15.7260","15.5114","0.59%"
"2019年6月16日","15.6208","15.6559","15.7485","15.5738","-0.35%"
"2019年6月9日","15.6761","15.7033","15.7394","15.6131","0.11%"
"2019年6月2日","15.6585","15.6990","15.7206","15.6136","-0.14%"
"2019年5月26日","15.6807","15.8461","15.9192","15.6807","-1.01%"
"2019年5月19日","15.8407","15.9189","16.0336","15.8323","-0.44%"
"2019年5月12日","15.9106","16.0798","16.0930","15.8295","-1.25%"
"2019年5月5日","16.1114","16.4282","16.4624","16.0343","-2.34%"
"2019年4月28日","16.4977","16.5822","16.6180","16.4828","-0.51%"
"2019年4月21日","16.5824","16.6978","16.7231","16.5192","-0.67%"
